Board,commentsAnalyzed,sentimentScore_mean,sentimentComparative_mean,commentLength_mean,text_ratio_boomer,text_ratio_trump,text_ratio_thank,text_ratio_meme,text_ratio_sjw,text_ratio_kek,text_ratio_/pol/,text_ratio_eddit,posts_ratio_boomer,posts_ratio_trump,posts_ratio_thank,posts_ratio_meme,posts_ratio_sjw,posts_ratio_kek,posts_ratio_/pol/,posts_ratio_eddit,created
r,2267,0.12571680635200705,0.04428425414139515,39.08689898544332,0,0,0.006658390700823835,0,0,0.0002708497912199526,0,0,0,0,0.05116894574327305,0,0,0.0035288928098809,0,0,1531241204822
r9k,23289,-1.03319163553609,-0.04858678850058781,132.6602687964275,0.00017478414966702,0.00002751231985499389,0.000509787103195475,0.0003625152733834489,0.000019420461074113335,0.000113609697283563,0.00014079834278732167,0.00013917997103114556,0.0037786079264889,0.0007299583494353557,0.01309631156339903,0.01120700760015458,0.0008158358023101034,0.004637382455236378,0.0031774657563656663,0.0031774657563656663,1531241329005
s,13350,-0.008389513108614232,0.008512372429416574,22.385992509363295,0.00010038380073146329,0,0.0013217200429642667,0.00005353802705678042,0.000010038380073146329,0.00023088274168236558,0.00018403696800768272,0.00018403696800768272,0.0003745318352059925,0,0.005767790262172285,0.000299625468164794,0.0000749063670411985,0.0017228464419475654,0.000749063670411985,0.000749063670411985,1531241361636
s4s,4314,-0.11265646731571627,0.0542003534068295,60.893370421882246,0.0023753873327902425,0.0017701203681850365,0.00157978484472428,0.0028626462728497796,0.0010506520895033765,0.0013018949804715753,0.000019033552346075662,0.0019414223392997176,0.0025498377375985167,0.0006954102920723226,0.017848864163189614,0.013908205841446454,0.0009272137227630969,0.00440426518312471,0.0002318034306907742,0.0018544274455261937,1531241412792
sci,5469,-0.4534649844578534,-0.024677804720603817,190.33497897238982,0.00009222415850258708,0.000048033415886764106,0.00038426732709411285,0.00037273930728128947,0.000011528019812823384,0.000074932128783352,0.00028339715373190824,0.00017292029719235077,0.0029255805448893763,0.0018284878405558603,0.01389650758822454,0.014445053940391297,0.0007313951362223441,0.004754068385445237,0.010056683123057231,0.005851161089778753,1531238439361
soc,13743,0.434621261733246,0.028247286593390975,88.8407916757622,0.000014742751275862266,0.00002457125212643711,0.0013800853277682178,0.0002751980238160956,0.000007371375637931133,0.00015725601360919752,0.00005323771294061374,0.00006961854769157182,0.00021829294913774285,0.0004365858982754857,0.023066288292221494,0.005748380993960561,0.00021829294913774285,0.0045113876155133525,0.000945936112930219,0.0011642290620679618,1531238511649
sp,28817,-0.1052850747822466,-0.009792227894253156,83.79803588159767,0.0002608903068070008,0.00006211673971595257,0.00045966387389804905,0.0007884684827944913,0.000014908017531828618,0.00036648876432412015,0.00022362026297742925,0.0002650314227880643,0.003470173855710171,0.0009716486795988479,0.007634382482562377,0.015303466703681854,0.00041642086268522054,0.010132907658673699,0.0032966651629246623,0.004129506888295104,1531238663767
t,3765,0.13253652058432935,0.032635028982066466,166.8863213811421,0,0.00001591527978266094,0.002013282892506609,0.000012732223826128751,0.0000047745839347982815,0.000014323751804394846,0,0.00007957639891330469,0,0.0005312084993359894,0.0650730411686587,0.0005312084993359894,0.0002656042496679947,0.0007968127490039841,0,0.002390438247011952,1531238676239
tg,22977,-0.27057492274883577,-0.008990947140683292,188.12386299342822,0.000005552314135127595,0.00002776157067563797,0.0004464985950331774,0.00013325553924306227,0.00003053772774320177,0.00003331388481076557,0.000082127979915429,0.00005552314135127594,0.0001305653479566523,0.0010445227836532185,0.016407712059885973,0.005918962440701571,0.0015232623928276101,0.002089045567306437,0.0026548287417852636,0.0018714366540453498,1531238803845
toy,13572,0.3761420571765399,0.021546785196235995,137.7138962569997,0.000006420363681500739,0.000018726060737710488,0.00076776849024613,0.00009844557644967799,0.00002728654564637814,0.000032101818407503696,0.00005617818221313146,0.00003477696994146233,0.00014736221632773356,0.0004420866489832007,0.0206307102858827,0.0030209254347185383,0.001031535514294135,0.0014736221632773356,0.0014736221632773356,0.0008841732979664014,1531238835871
